date,sales
1/1/2013,180.589
1/2/2013,26246.319
1/3/2013,18456.48002
1/4/2013,16721.96901
1/5/2013,22367.76108
1/6/2013,26861.665
1/7/2013,17646.151
1/8/2013,15805.76402
1/9/2013,16002.83002
1/10/2013,14134.59703
1/11/2013,14579.76001
1/12/2013,20311.584
1/13/2013,25426.017
1/14/2013,17028.452
1/15/2013,16764.118
1/16/2013,17517.78298
1/17/2013,15154.472
1/18/2013,15811.88602
1/19/2013,21668.79403
1/20/2013,25184.16605
1/21/2013,17811.85197
1/22/2013,15367.80199
1/23/2013,15693.49798
1/24/2013,14425.08802
1/25/2013,16561.232
1/26/2013,21061.09198
1/27/2013,23905.38303
1/28/2013,16794.32996
1/29/2013,14723.319
1/30/2013,15144.5
1/31/2013,14419.60298
2/1/2013,17346.746
2/2/2013,23659.7139
2/3/2013,22997.431
2/4/2013,17773.102
2/5/2013,15931.481
2/6/2013,16204.95002
2/7/2013,15197.28202
2/8/2013,17355.07097
2/9/2013,20273.89902
2/10/2013,15232.682
2/11/2013,14311.96396
2/12/2013,16711.43197
2/13/2013,17940.172
2/14/2013,15044.30898
2/15/2013,16295.11094
2/16/2013,24249.319
2/17/2013,22717.47801
2/18/2013,19537.965
2/19/2013,16208.673
2/20/2013,17065.727
2/21/2013,14649.607
2/22/2013,15167.90502
2/23/2013,20792.97601
2/24/2013,24415.13103
2/25/2013,17073.48698
2/26/2013,15010.861
2/27/2013,15506.84399
2/28/2013,15138.08495
3/1/2013,18220.95901
3/2/2013,24611.64
3/3/2013,28286.35499
3/4/2013,20356.70798
3/5/2013,16909.35803
3/6/2013,17824.10002
3/7/2013,15233.154
3/8/2013,15648.71101
3/9/2013,21947.73498
3/10/2013,25344.364
3/11/2013,18189.346
3/12/2013,15095.216
3/13/2013,16368.494
3/14/2013,14730.508
3/15/2013,16425.94202
3/16/2013,23632.95898
3/17/2013,27807.539
3/18/2013,19404.313
3/19/2013,16149.74899
3/20/2013,17250.20897
3/21/2013,15342.804
3/22/2013,15243.59997
3/23/2013,21902.91
3/24/2013,24180.8039
3/25/2013,17674.252
3/26/2013,14769.98798
3/27/2013,16657.19297
3/28/2013,16780.02697
3/29/2013,16729.64802
3/30/2013,20997.36198
3/31/2013,24308.85492
4/1/2013,22030.397
4/2/2013,18770.998
4/3/2013,19051.261
4/4/2013,16338.249
4/5/2013,16299.34005
4/6/2013,23135.26602
4/7/2013,27236.49108
4/8/2013,18608.311
4/9/2013,16091.92599
4/10/2013,16693.611
4/11/2013,15182.69697
4/12/2013,15295.96302
4/13/2013,21598.36303
4/14/2013,25094.88001
4/15/2013,18994.583
4/16/2013,17362.891
4/17/2013,17636.59999
4/18/2013,15266.875
4/19/2013,16040.26896
4/20/2013,21825.18
4/21/2013,26096.74102
4/22/2013,18352.981
4/23/2013,16632.44497
4/24/2013,16730.10398
4/25/2013,14878.694
4/26/2013,15935.37704
4/27/2013,21680.035
4/28/2013,25685.65497
4/29/2013,18232.122
4/30/2013,15844.914
5/1/2013,23562.21901
5/2/2013,18009.849
5/3/2013,18154.389
5/4/2013,24772.47412
5/5/2013,31616.8071
5/6/2013,19272.15503
5/7/2013,17735.625
5/8/2013,17824.74299
5/9/2013,16828.75602
5/10/2013,16991.624
5/11/2013,24601.89897
5/12/2013,22222.886
5/13/2013,20185.13704
5/14/2013,17363.22001
5/15/2013,18286.14101
5/16/2013,17095.40097
5/17/2013,16283.536
5/18/2013,23827.671
5/19/2013,28672.09901
5/20/2013,19075.757
5/21/2013,16228.371
5/22/2013,16662.275
5/23/2013,15136.32499
5/24/2013,19615.09903
5/25/2013,20700.194
5/26/2013,26364.79103
5/27/2013,18954.42003
5/28/2013,17491.019
5/29/2013,17707.795
5/30/2013,17993.572
5/31/2013,16809.404
6/1/2013,25371.08998
6/2/2013,32524.033
6/3/2013,21891.415
6/4/2013,19094.757
6/5/2013,18808.25297
6/6/2013,16345.82399
6/7/2013,18132.738
6/8/2013,22607.092
6/9/2013,28545.14599
6/10/2013,19812.58299
6/11/2013,16215.672
6/12/2013,18099.43702
6/13/2013,15408.54404
6/14/2013,16292.92502
6/15/2013,23887.57697
6/16/2013,23890.74499
6/17/2013,20545.10902
6/18/2013,17451.573
6/19/2013,17078.42501
6/20/2013,15818.53
6/21/2013,16023.57701
6/22/2013,21732.73
6/23/2013,27385.8781
6/24/2013,19124.95099
6/25/2013,16600.73095
6/26/2013,16725.106
6/27/2013,14618.36596
6/28/2013,16665.16
6/29/2013,23675.54299
6/30/2013,27412.18003
7/1/2013,22459.97
7/2/2013,19433.88
7/3/2013,18971.432
7/4/2013,16933.728
7/5/2013,18205.434
7/6/2013,22067.574
7/7/2013,25665.431
7/8/2013,19438.16303
7/9/2013,16471.90098
7/10/2013,16761.494
7/11/2013,15068.221
7/12/2013,15702.74099
7/13/2013,20344.52703
7/14/2013,23253.26802
7/15/2013,18740.844
7/16/2013,17542.38998
7/17/2013,16768.21695
7/18/2013,14765.96899
7/19/2013,15207.903
7/20/2013,19887.16602
