date,sales
1/1/2013,186
1/2/2013,74629
1/3/2013,55893
1/4/2013,52064
1/5/2013,70128
1/6/2013,74295
1/7/2013,50036
1/8/2013,45075
1/9/2013,42958
1/10/2013,38621
1/11/2013,38550
1/12/2013,56040
1/13/2013,61070
1/14/2013,41137
1/15/2013,41274
1/16/2013,45278
1/17/2013,37144
1/18/2013,40049
1/19/2013,57508
1/20/2013,59823
1/21/2013,43332
1/22/2013,44098
1/23/2013,39310
1/24/2013,33314
1/25/2013,39071
1/26/2013,54997
1/27/2013,56881
1/28/2013,39750
1/29/2013,37370
1/30/2013,40999
1/31/2013,37971
2/1/2013,52619
2/2/2013,74849
2/3/2013,71129
2/4/2013,50354
2/5/2013,47853
2/6/2013,46676
2/7/2013,41248
2/8/2013,44114
2/9/2013,54656
2/10/2013,39606
2/11/2013,34940
2/12/2013,39825
2/13/2013,43666
2/14/2013,36495
2/15/2013,45162
2/16/2013,63974
2/17/2013,49745
2/18/2013,47713
2/19/2013,40778
2/20/2013,42701
2/21/2013,36251
2/22/2013,36216
2/23/2013,52284
2/24/2013,56132
2/25/2013,42106
2/26/2013,36171
2/27/2013,38158
2/28/2013,37557
3/1/2013,50716
3/2/2013,73145
3/3/2013,74686
3/4/2013,53750
3/5/2013,46642
3/6/2013,45721
3/7/2013,40193
3/8/2013,40153
3/9/2013,58473
3/10/2013,59179
3/11/2013,43358
3/12/2013,37032
3/13/2013,40020
3/14/2013,32759
3/15/2013,42240
3/16/2013,63682
3/17/2013,66896
3/18/2013,44675
3/19/2013,40183
3/20/2013,45118
3/21/2013,36121
3/22/2013,38594
3/23/2013,59222
3/24/2013,56522
3/25/2013,42234
3/26/2013,35316
3/27/2013,40165
3/28/2013,39539
3/29/2013,38905
3/30/2013,59507
3/31/2013,60644
4/1/2013,59754
4/2/2013,54174
4/3/2013,52740
4/4/2013,42335
4/5/2013,42893
4/6/2013,65129
4/7/2013,65394
4/8/2013,46974
4/9/2013,39987
4/10/2013,41838
4/11/2013,36878
4/12/2013,39870
4/13/2013,56316
4/14/2013,58948
4/15/2013,44373
4/16/2013,45225
4/17/2013,42197
4/18/2013,34874
4/19/2013,39745
4/20/2013,57204
4/21/2013,60431
4/22/2013,43780
4/23/2013,41287
4/24/2013,42082
4/25/2013,34759
4/26/2013,36166
4/27/2013,55782
4/28/2013,57879
4/29/2013,42202
4/30/2013,40010
5/1/2013,67713
5/2/2013,46745
5/3/2013,47378
5/4/2013,67928
5/5/2013,73366
5/6/2013,48727
5/7/2013,41774
5/8/2013,46704
5/9/2013,39983
5/10/2013,40397
5/11/2013,57758
5/12/2013,43574
5/13/2013,45819
5/14/2013,41563
5/15/2013,43530
5/16/2013,40195
5/17/2013,41849
5/18/2013,61472
5/19/2013,65168
5/20/2013,46856
5/21/2013,39699
5/22/2013,40354
5/23/2013,36734
5/24/2013,48762
5/25/2013,52277
5/26/2013,55387
5/27/2013,41707
5/28/2013,40215
5/29/2013,40167
5/30/2013,38760
