date,sales
1/1/2013,0
1/2/2013,255
1/3/2013,161
1/4/2013,169
1/5/2013,342
1/6/2013,360
1/7/2013,189
1/8/2013,229
1/9/2013,164
1/10/2013,164
1/11/2013,162
1/12/2013,280
1/13/2013,326
1/14/2013,162
1/15/2013,165
1/16/2013,171
1/17/2013,192
1/18/2013,170
1/19/2013,281
1/20/2013,370
1/21/2013,189
1/22/2013,163
1/23/2013,198
1/24/2013,156
1/25/2013,177
1/26/2013,302
1/27/2013,332
1/28/2013,171
1/29/2013,177
1/30/2013,209
1/31/2013,171
2/1/2013,254
2/2/2013,405
2/3/2013,420
2/4/2013,266
2/5/2013,269
2/6/2013,220
2/7/2013,206
2/8/2013,309
2/9/2013,402
2/10/2013,268
2/11/2013,216
2/12/2013,320
2/13/2013,208
2/14/2013,161
2/15/2013,178
2/16/2013,377
2/17/2013,334
2/18/2013,182
2/19/2013,237
2/20/2013,239
2/21/2013,164
2/22/2013,181
2/23/2013,275
2/24/2013,390
2/25/2013,220
2/26/2013,170
2/27/2013,173
2/28/2013,176
3/1/2013,198
3/2/2013,353
3/3/2013,383
3/4/2013,188
3/5/2013,139
3/6/2013,233
3/7/2013,201
3/8/2013,166
3/9/2013,272
3/10/2013,321
3/11/2013,196
3/12/2013,149
3/13/2013,175
3/14/2013,174
3/15/2013,172
3/16/2013,370
3/17/2013,360
3/18/2013,228
3/19/2013,259
3/20/2013,181
3/21/2013,206
3/22/2013,237
3/23/2013,344
3/24/2013,313
3/25/2013,227
3/26/2013,183
3/27/2013,216
3/28/2013,232
3/29/2013,317
3/30/2013,336
3/31/2013,306
4/1/2013,244
4/2/2013,235
4/3/2013,188
4/4/2013,193
4/5/2013,219
4/6/2013,341
4/7/2013,345
4/8/2013,223
4/9/2013,196
4/10/2013,199
4/11/2013,165
4/12/2013,239
4/13/2013,307
4/14/2013,357
4/15/2013,215
4/16/2013,221
4/17/2013,214
4/18/2013,166
4/19/2013,268
4/20/2013,366
4/21/2013,361
4/22/2013,206
4/23/2013,203
4/24/2013,268
4/25/2013,244
4/26/2013,194
4/27/2013,298
4/28/2013,348
4/29/2013,264
4/30/2013,198
5/1/2013,330
5/2/2013,278
5/3/2013,186
5/4/2013,383
5/5/2013,407
5/6/2013,213
5/7/2013,215
5/8/2013,235
5/9/2013,219
5/10/2013,265
5/11/2013,405
5/12/2013,260
5/13/2013,264
5/14/2013,226
5/15/2013,211
5/16/2013,291
5/17/2013,254
5/18/2013,410
5/19/2013,423
5/20/2013,311
5/21/2013,231
5/22/2013,284
5/23/2013,308
5/24/2013,362
5/25/2013,368
5/26/2013,360
5/27/2013,232
5/28/2013,269
5/29/2013,268
5/30/2013,318
5/31/2013,248
6/1/2013,359
6/2/2013,416
6/3/2013,277
6/4/2013,199
6/5/2013,247
6/6/2013,206
6/7/2013,254
6/8/2013,335
6/9/2013,435
6/10/2013,216
6/11/2013,166
6/12/2013,225
6/13/2013,274
6/14/2013,242
6/15/2013,350
6/16/2013,319
6/17/2013,243
6/18/2013,259
6/19/2013,207
6/20/2013,250
6/21/2013,206
6/22/2013,377
6/23/2013,390
6/24/2013,212
6/25/2013,256
6/26/2013,235
6/27/2013,217
6/28/2013,200
6/29/2013,373
6/30/2013,366
7/1/2013,303
7/2/2013,250
7/3/2013,210
7/4/2013,213
7/5/2013,212
7/6/2013,332
7/7/2013,367
7/8/2013,239
7/9/2013,264
7/10/2013,199
7/11/2013,223
7/12/2013,202
7/13/2013,352
7/14/2013,350
7/15/2013,267
7/16/2013,263
7/17/2013,227
7/18/2013,248
7/19/2013,247
