date,sales
1/1/2013,0
1/2/2013,46
1/3/2013,37
1/4/2013,57
1/5/2013,87
1/6/2013,87
1/7/2013,55
1/8/2013,57
1/9/2013,38
1/10/2013,58
1/11/2013,48
1/12/2013,65
1/13/2013,63
1/14/2013,31
1/15/2013,51
1/16/2013,60
1/17/2013,51
1/18/2013,47
1/19/2013,65
1/20/2013,93
1/21/2013,41
1/22/2013,52
1/23/2013,46
1/24/2013,26
1/25/2013,45
1/26/2013,52
1/27/2013,60
1/28/2013,32
1/29/2013,60
1/30/2013,65
1/31/2013,37
2/1/2013,58
2/2/2013,73
2/3/2013,70
2/4/2013,50
2/5/2013,35
2/6/2013,41
2/7/2013,36
2/8/2013,43
2/9/2013,66
2/10/2013,60
2/11/2013,49
2/12/2013,56
2/13/2013,39
2/14/2013,45
2/15/2013,41
2/16/2013,54
2/17/2013,53
2/18/2013,64
2/19/2013,38
2/20/2013,46
2/21/2013,37
2/22/2013,30
2/23/2013,60
2/24/2013,63
2/25/2013,68
2/26/2013,39
2/27/2013,54
2/28/2013,46
3/1/2013,49
3/2/2013,68
3/3/2013,75
3/4/2013,65
3/5/2013,57
3/6/2013,54
3/7/2013,35
3/8/2013,44
3/9/2013,63
3/10/2013,62
3/11/2013,56
3/12/2013,39
3/13/2013,27
3/14/2013,42
3/15/2013,49
3/16/2013,51
3/17/2013,70
3/18/2013,42
3/19/2013,40
3/20/2013,34
3/21/2013,50
3/22/2013,33
3/23/2013,76
3/24/2013,68
3/25/2013,37
3/26/2013,44
3/27/2013,38
3/28/2013,35
3/29/2013,54
3/30/2013,56
3/31/2013,69
4/1/2013,43
4/2/2013,53
4/3/2013,53
4/4/2013,61
4/5/2013,54
4/6/2013,58
4/7/2013,53
4/8/2013,40
4/9/2013,44
4/10/2013,46
4/11/2013,44
4/12/2013,60
4/13/2013,68
4/14/2013,63
4/15/2013,47
4/16/2013,23
4/17/2013,39
4/18/2013,26
4/19/2013,37
4/20/2013,51
4/21/2013,69
4/22/2013,32
4/23/2013,38
4/24/2013,39
4/25/2013,31
4/26/2013,44
4/27/2013,48
4/28/2013,53
4/29/2013,60
4/30/2013,46
5/1/2013,65
5/2/2013,41
5/3/2013,52
5/4/2013,54
5/5/2013,62
5/6/2013,50
5/7/2013,43
5/8/2013,32
5/9/2013,33
5/10/2013,46
5/11/2013,50
5/12/2013,54
5/13/2013,40
5/14/2013,47
5/15/2013,30
5/16/2013,32
5/17/2013,42
5/18/2013,57
5/19/2013,51
5/20/2013,40
5/21/2013,45
5/22/2013,48
5/23/2013,35
5/24/2013,53
5/25/2013,44
5/26/2013,52
5/27/2013,32
5/28/2013,39
5/29/2013,38
5/30/2013,75
5/31/2013,49
6/1/2013,39
6/2/2013,86
6/3/2013,45
6/4/2013,42
6/5/2013,45
6/6/2013,44
6/7/2013,36
6/8/2013,62
6/9/2013,81
6/10/2013,55
6/11/2013,38
6/12/2013,37
6/13/2013,31
6/14/2013,43
6/15/2013,45
6/16/2013,43
6/17/2013,29
6/18/2013,45
6/19/2013,51
6/20/2013,44
6/21/2013,29
6/22/2013,54
6/23/2013,59
6/24/2013,39
6/25/2013,31
6/26/2013,31
6/27/2013,33
6/28/2013,26
6/29/2013,48
6/30/2013,48
7/1/2013,38
7/2/2013,32
7/3/2013,30
7/4/2013,31
7/5/2013,30
7/6/2013,45
7/7/2013,69
7/8/2013,21
7/9/2013,34
7/10/2013,50
7/11/2013,28
7/12/2013,35
7/13/2013,39
7/14/2013,54
7/15/2013,21
7/16/2013,34
7/17/2013,30
7/18/2013,27
7/19/2013,38
7/20/2013,60
7/21/2013,45
7/22/2013,40
7/23/2013,31
7/24/2013,43
7/25/2013,30
7/26/2013,26
7/27/2013,34
7/28/2013,45
7/29/2013,38
7/30/2013,39
7/31/2013,47
8/1/2013,45
8/2/2013,72
8/3/2013,57
8/4/2013,43
8/5/2013,32
8/6/2013,34
8/7/2013,49
8/8/2013,39
8/9/2013,44
8/10/2013,58
8/11/2013,68
8/12/2013,41
8/13/2013,43
8/14/2013,47
8/15/2013,35
8/16/2013,52
8/17/2013,72
